INDY PASS ROSTER,,"DISCOUNT (no included tickets) at Indy Allied partners (Mont Ripley, Cherry Peak, King Pine)
DAYS SHARED BETWEEN: Mountain High East/West | Loveland and Loveland Valley | Björkliden and Riksgränsen",,,,,,,,,,,,,,,,,,,,,,,,,"PASS ACCESS KEY: 2/3=2/3 Days | S=Shared Days | 
B=Blackouts Apply | R=Reservations required | 
Europe - Germany,Oberstdorf-Kleinwalsertal,2025,"2,664 ","7,296 ","4,632 ","19,136",120,,,,,,,,,,,,,,,,,,,48,2,2,,,Europe - Germany,,,Mammoth,2018,"7,953 ","11,053 ","3,100 ","3,500",357,Alterra ,,2,,,,4,,8,1,6,3,,,1,,2,27,U,UB,"1-4, B, S",,U.S. - West,"$1,449",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vail Mountain    ,2008,"8,120 ","11,570 ","3,450 ","5,317",354,Vail Resorts,,2,,,,4,,14,1,2,,1,,3,,5,32,U,10SB,,,5SB,,,,,1-7,,,U,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe - Italy,Pila,2025,"5,790 ","8,887 ","3,097 ",865,97,Independent,,,,,,,,,,,,,,,,,,14,2,2,,,Europe - Italy,,,Palisades Tahoe: Alpine Meadows,2018,"6,835 ","8,637 ","1,802 ","2,400",364,Alterra ,,,,,,1,,3,,2,5,,,,,2,13,U,UB,"1-4, B, S",,U.S. - West,"$1,449",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Indiana,Paoli Peaks,2019,600 ,900 ,300 ,65,18,Vail Resorts,,,,,,,,,1,3,1,,,,,2,7,U,U,,,,,,,,1-7,1-7,1-7,U,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe - Norway,Norejfell,2025,584 ,"3,898 ","3,314 ",,71,,,,,,,,1,,1,,,1,5,4,,1,2,15,2,2,,,Europe - Norway,,,Palisades Tahoe: Olympic ,2018,"6,200 ","9,050 ","2,850 ","3,600",364,Alterra ,1,2,,,,7,,2,1,8,3,,,,,7,31,U,UB,"1-4, B, S",,U.S. - West,"$1,449",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Michigan,Mount Brighton,2013,"1,100 ","1,330 ",230 ,130,60,Vail Resorts,,,,,,,,,2,3,,,,,5,2,12,U,U,U,UM,,,,,,1-7,1-7,1-7,U,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stranda Ski Resort (Strandafjellet?),2026,"1,411 ","4,035 ","2,625 ",,,,,,,,,,,1,1,,,,2,2,,,1,7,2,2,,,Europe - Norway,,,Sierra-at-Tahoe,2024,"6,640 ","8,852 ","2,212 ","2,000",401,Independent,,,,,,,,3,,1,5,,,,,5,14,7,5B,"1-4, B, S",,U.S. - West,$659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Minnesota,Afton Alps,2013,350 ,700 ,350 ,300,60,Vail Resorts,,,,,,,,,1,2,12,,,,2,2,19,U,U,,,,,,,,1-7,1-7,1-7,U,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe - Scotland,Glencoe,2024,"1,247 ","3,635 ","2,388 ",494,35,Independent,,,,,,,,,,,,,,,,,,8,2,2,,,Europe - Scotland,,,Snow Summit (Big Bear),2018,"7,000 ","8,200 ","1,200 ",240,114,Alterra ,,,,,,,,2,2,2,4,,,,,5,15,U,U,"1-4, B, S",,U.S. - West,$639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Missouri,Hidden Valley,2019,540 ,860 ,320 ,65,19,Vail Resorts,,,,,,,,,2,2,1,,,,1,1,7,U,U,,,,,,,,1-7,1-7,1-7,U,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glenshee,2025,"2,133 ","3,404 ","1,271 ",,25,,,,,,,,,,,,1,2,3,15,,,,21,2,2,,,Europe - Scotland,,,Snow Valley,2023,"6,800 ","7,841 ","1,041 ",240,150,Alterra ,,,,,,1,,,,4,4,,,,,2,11,U,U,"1-4, B, S",,U.S. - West,$419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snow Creek,2019,800 ,"1,100 ",300 ,25,20,Vail Resorts,,,,,,,,,,2,1,,,,1,1,5,U,U,,,,,,,,1-7,1-7,1-7,U,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe - Slovenia,Krvavec,2025,"4,757 ","6,467 ","1,710 ",,240,,,,1,,,,2,,,1,,3,,3,,,2,13,2B,2,,,Europe - Slovenia,,U.S. - Colorado,Arapahoe Basin,2019,"10,780 ","12,478 ","1,698 ","1,428",350,Alterra ,,,,,,1,,1,3,,1,,,,1,2,9,U,U,"1-4, B, S",,U.S. - West,$679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - New Hampshire,Attitash,2019,600 ,"2,350 ","1,750 ",311,120,Vail Resorts,,,,,,,,3,2,2,,,,,,1,8,U,U,U,UM,,,,,,1-7,1-7,1-7,U,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe - Spain,Baqueria Beret,2024,"4,921 ","8,563 ","3,642 ","5,616",50,Independent,,,1,,,,5,,7,,4,2,2,6,,1,7,35,2,2,,,Europe - Spain,,,Aspen Highlands,2018,"8,040 ","11,675 ","3,635 ","1,010",260,Aspen Skiing Company,,,,,,,,3,,2,1,,,,,,6,7S,,,2S,U.S. - West,"$3,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crotched,2019,"1,050 ","2,066 ","1,016 ",100,65,Vail Resorts,,,,,,,,1,1,1,1,,,,,1,5,U,U,U,UM,,,,,,1-7,1-7,1-7,U,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe - Sweden,Björkliden,2025,"1,378 ","3,018 ","1,640 ",,,,,,,,,,,,,,,,3,2,,,,5,2S,2S,,,Europe - Sweden,,,Aspen Mountain,2018,"7,945 ","11,262 ","3,317 ",826,248,Aspen Skiing Company,,1,,,,,,3,,,1,,,,,,6,7S,,,2S,U.S. - West,"$3,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mount Sunapee,2018,"1,233 ","2,743 ","1,510 ",233,130,Vail Resorts,,,,,,,,2,1,2,,,,,,3,8,U,U,U,UM,,,,,,1-7,1-7,1-7,U,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Riksgränsen ,2025,"1,706 ","2,982 ","1,276 ",,,,,,,,,,,,,,1,,1,3,,,,6,2S,2S,,,Europe - Sweden,,,Buttermilk,2018,"7,870 ","9,900 ","2,030 ",435,200,Aspen Skiing Company,,,,,,,,3,,,1,,,,1,1,6,7S,,,2S,U.S. - West,"$3,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wildcat,2019,"1,950 ","3,991 ","2,112 ",225,200,Vail Resorts,,,,,,,,1,,3,,,,,,1,5,U,U,U,UM,,,,,,1-7,1-7,1-7,U,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stöten i Sälen,2026,"1,437 ","2,723 ","1,286 ",,,,,,,,,,2,,,,,,6,13,,,3,24,2,2,,,Europe - Sweden,,,Copper Mountain,2018,"9,712 ","12,441 ","2,729 ","2,538",278,Powdr,,,,,,3,1,3,,5,4,1,,2,1,5,25,U,U,"1-4, B, S",,U.S. - West,$699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - New York,Hunter,2019,"1,600 ","3,200 ","1,600 ",320,70,Vail Resorts,,,,,,3,,1,2,1,1,,,1,,3,12,U,U,UB,UMB,,,,,,1-7,1-7,,U,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe - Switzerland,Hohsaas - Saas-Grund,2026,"5,115 ","10,499 ","5,384 ",,,,,,2,,,,,,,,,,1,1,,1,2,7,2,2,,,Europe - Switzerland,,,Eldora,2018,"9,200 ","10,600 ","1,400 ",680,225,Independent,,,,,,1,,,2,1,3,,,1,1,1,10,U,U,"1-4, B, S",,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Ohio,Alpine Valley OH,2019,"1,260 ","1,500 ",240 ,72,120,Vail Resorts,,,,,,,,,1,1,1,,,,1,1,5,U,U,U,UM,,,,,U,1-7,1-7,1-7,U,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leukerbad Torrent Ski Resort (& Gemmi for Magic only?),2025,"4,629 ","8,563 ","3,934 ","8,000",,,,1,2,,,,1,,,,,,2,1,,2,4,13,2,2,,,Europe - Switzerland,,,Snowmass,2018,"8,110 ","12,510 ","4,400 ","3,342",301,Aspen Skiing Company,,1,1,,,3,,6,2,,1,1,,3,,2,20,7S,"5, B",,2S,U.S. - West,"$3,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston Mills,2019,656 ,886 ,230 ,40,54,Vail Resorts,,,,,,,,,1,4,1,,,,,1,7,U,U,U,UM,,,,,U,1-7,1-7,1-7,U,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pizol,2026,"1,670 ","7,382 ","5,712 ",,,,,,2,,,,1,,3,,,,2,2,,1,,11,2,2,,,Europe - Switzerland,,,Steamboat,2018,"6,900 ","10,568 ","3,668 ","3,741",370,Alterra ,,2,1,,,1,,8,,4,2,,,,1,6,25,U,5B,"1-4, B, S",,U.S. - West,"$1,449",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandywine,2019,623 ,886 ,262 ,40,54,Vail Resorts,,,,,,,,,3,2,,,,,2,1,8,U,U,U,UM,,,,,U,1-7,1-7,1-7,U,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Europe - Switzerland, Europe - France",Portes du Soleil,2025,"3,117 ","7,470 ","4,353 ","16,018",315,,,,,,,,,,,,,,,,,,,208,2,2,,,Europe - Switzerland,,,Winter Park,2018,"9,000 ","12,060 ","3,060 ","3,081",344.6,Alterra ,,1,,1,,4,,5,,3,6,,,1,,3,24,U,U,"1-4, B, S",,U.S. - West,$759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mad River,2019,"1,160 ","1,460 ",300 ,144,36,Vail Resorts,,,,,,,,,1,2,2,,,,3,1,9,U,U,U,UM,,,,,U,1-7,1-7,1-7,U,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe - Turkey,Erciyes,2024,"6,850 ","10,978 ","4,127 ",2965,,Independent,,,2,,,,3,,2,6,,,,,,1,5,19,2,2,,,Europe - Turkey,,U.S. - Idaho,Schweitzer,2021,"3,960 ","6,389 ","2,429 ","2,900",271,Alterra ,,,,,,1,,4,,2,1,1,,,,1,10,U,5B,"1-4, B, S",,U.S. - West,$999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Pennsylvania,Big Boulder,2019,"1,700 ","2,175 ",475 ,55,50,Vail Resorts,,,,,,,,,2,1,1,,,,,1,5,U,U,U,UM,,,,,,1-7,1-7,1-7,U,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaya Palazzo Kartalkaya Dorukkaya (Dorukkaya - Bolu-Kartalkaya),2025,"6,073 ","7,185 ","1,112 ",,,,,,,,,,,,1,,,,4,2,,1,2,10,2,2,,,Europe - Turkey,,,Sun Valley: Bald ,2022,"5,750 ","9,150 ","3,400 ","2,533",193,Holding Family,,1,,,,3,,5,,2,,,,,,1,12,7S,,,2S,U.S. - West,"$2,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hidden Valley PA,2022,"2,405 ","2,875 ",470 ,110,140,Vail Resorts,,,,,,,,,2,2,,,,,2,2,8,U,U,U,UM,,,,,,1-7,1-7,1-7,U,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Palandoken Ski Resort,2025,"7,047 ","10,302 ","3,255 ",,,Independent,,,2,,,,,,3,3,1,3,1,,,,3,16,2,2,,,Europe - Turkey,,,Sun Valley: Dollar ,2022,"6,010 ","6,638 ",628 ,296,,Holding Family,,,,,,,,2,,1,1,,,,,1,5,7S,,,2S,U.S. - West,$959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jack Frost,2019,"1,400 ","2,000 ",600 ,100,50,Vail Resorts,,,,,,,,,4,,2,,,,,,6,U,U,U,UM,,,,,,1-7,1-7,1-7,U,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe -Czech Republic,Malá Úpa,2024,"3,264 ","4,134 ",870 ,,26,Independent,,,,,,,,,,,,,,,,,,9,2,2,,,Europe -Czech Republic,,,Tamarack,2026,"4,900 ","7,700 ","2,800 ","1,100",275,Independent,,,,,,,,3,2,,,,,1,,1,7,"2, B",,,,U.S. - West,$599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laurel,2022,"2,005 ","2,766 ",761 ,70,41,Vail Resorts,,,,,,,,,1,,,,,,1,,2,U,U,U,UM,,,,,,1-7,1-7,1-7,U,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan (Akita),Ani Ski Resort (Mt. Moriyoshi),2023,"1,762 ","3,937 ","2,175 ",,400,Independent,,,1,,,,,,,,,2,,,,,,3,2,2,,,Japan (Akita),,U.S. - Maine,Sugarloaf,2018,"1,417 ","4,165 ","2,748 ","1,360",200,Boyne Resorts,,,,,,,,3,3,1,5,2,,,,1,15,7,5B,"1-4, B, S",2,U.S. - East,"$1,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liberty,2019,570 ,"1,190 ",620 ,100,31,Vail Resorts,,,,,,,,,5,,,,,,,2,7,U,U,U,UM,,,,,,1-7,1-7,1-7,U,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tazawako,2021,"1,896 ","3,891 ","1,995 ",247,,Independent,,,,,,,,,2,,,4,,,,,,6,2,2,,,Japan (Akita),,,Sunday River,2018,800 ,"3,150 ","2,350 ","1,184",167,Boyne Resorts,,,,,1,1,1,2,5,5,1,1,,,,3,20,7,5B,"1-4, B, S",2,U.S. - East,"$1,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roundtop,2019,755 ,"1,345 ",591 ,103,30,Vail Resorts,,,,,,,,,3,2,,,1,,,3,9,U,U,U,UM,,,,,,1-7,1-7,1-7,U,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan (Aomori),Aomori Spring,2022,"1,234 ","3,022 ","1,788 ",,320,Independent,,,1,,,,,,2,,,2,,,,,,5,2,2,,,Japan (Aomori),,U.S. - Massachusetts,Butternut,2025,800 ,"1,800 ","1,000 ",110,110,Murdock Family,,,,,,,,,5,,,,,,,4,9,2B,,,,U.S. - East,$399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seven Springs,2022,"2,240 ","2,994 ",754 ,285,135,Vail Resorts,,,,,,2,,,5,3,,,,,1,3,14,U,U,U,UM,,,,,,1-7,1-7,1-7,U,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan (Gifu),Dynaland Ski Resort,2024,"3,228 ","4,921 ","1,693 ",198,,Independent,,,,,,,,,3,,,2,,,,,1,6,2,2,,,Japan (Gifu),,,Jiminy Peak,2025,"1,230 ","2,380 ","1,150 ",167.4,100,Fairbank Group,,,,,,1,,,2,3,1,,,,,2,9,2B,,,,U.S. - East,"$1,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whitetail,2019,865 ,"1,800 ",935 ,109,40,Vail Resorts,,,,,,,,1,3,,1,,,,,2,7,U,U,U,UM,,,,,,1-7,1-7,1-7,U,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hirugano Kogen Ski Resort,2024,"2,923 ","3,415 ",492 ,75,165,Independent,,,,,,,,,1,,,2,,,,,,3,2,2,,,Japan (Gifu),,U.S. - Michigan,Boyne Mountain,2018,720 ,"1,140 ",420 ,435,140,Boyne Resorts,,,,,1,1,,,4,1,2,,,,,1,10,7,5B,"1-4, B, S",,U.S. - Midwest,$875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Utah,Park City,2013,"6,800 ","10,026 ","3,226 ","7,300",355,Vail Resorts,,3,1,1,,6,,10,5,7,3,,,,2,3,41,U,UB,,,5SB,,,,,1-7,,,U,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
